"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"61",1,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
"62",1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"63",1,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"64",1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"65",3,3,5,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,3,1,2
"66",6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,2
"67",3,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,2
"68",6,4,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,2
"69",6,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
"70",3,1,10,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"71",1,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"72",3,1,10,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"73",6,4,5,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,4,5
"74",1,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"75",3,3,10,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"76",6,3,9,2,4,2,2,2,6,2,2,3,3,8,8,1,3,2,5,7,5,1
"77",3,4,5,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,6,5
"78",6,4,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,5,6
"79",3,4,5,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,6,2
"80",6,3,5,1,6,2,2,1,5,2,4,1,3,8,8,1,3,2,1,4,4,2
"81",6,4,9,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,3,4,2
"82",3,1,4,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,6,6
"83",6,1,4,1,6,2,2,1,6,2,4,3,3,8,8,1,3,2,1,4,4,2
"84",6,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,2
"85",6,3,5,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,3,4,2
"86",1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"87",6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"88",3,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,2
"89",5,1,5,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,6
"90",6,1,5,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,6,6
"91",1,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"92",6,4,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"93",6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"94",6,3,5,1,6,2,2,1,6,2,4,3,3,8,8,1,3,2,1,4,1,2
"95",6,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"96",3,4,5,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,4,2
"97",6,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"98",1,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"99",6,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"100",6,1,5,1,6,2,2,1,8,2,4,1,3,8,8,1,3,2,1,3,4,2
"101",1,3,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"102",3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,2
"103",6,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,6,5
"104",1,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"105",6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"106",6,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,2
"107",1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"108",1,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"109",6,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,4
"110",6,3,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,2
"111",5,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,6,6
"112",6,1,9,2,1,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"113",6,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"114",6,4,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,6
"115",6,4,10,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,4,2
"116",5,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,6,6
"117",6,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,2
"118",6,3,10,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,7,5,1
"119",5,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,6,6
"120",6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,2
"121",6,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"122",3,4,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,2
"123",3,3,4,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,4,1,2
"124",6,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"125",6,3,9,1,6,2,2,1,6,2,4,3,1,8,8,1,3,2,1,3,4,2
"126",1,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,2
"127",3,1,4,1,6,2,2,1,4,2,4,3,3,8,8,1,3,2,1,4,1,2
"128",6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"129",1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"130",1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"131",1,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,4
"132",3,3,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"133",6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"134",3,3,9,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"135",6,4,9,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,5,6
"136",3,1,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"137",6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"138",6,3,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,2
"139",1,3,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,2
"140",6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"141",1,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"142",5,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"143",3,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"144",6,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,2
"145",6,1,4,1,6,2,2,1,5,2,4,1,1,8,8,1,3,2,1,3,4,2
"146",3,1,9,1,6,2,2,1,5,2,4,3,1,8,8,1,3,2,1,4,1,2
"147",6,4,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"148",1,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,2
"149",1,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"150",6,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"151",6,3,5,1,6,2,2,1,8,2,4,1,3,8,8,1,3,2,1,4,1,2
"152",6,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"153",5,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"154",6,3,9,2,1,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"155",6,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,2
"156",1,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"157",6,4,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"158",1,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"159",1,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"160",1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"161",1,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"162",6,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,6,6
"163",3,4,5,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,6,2
"164",6,4,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,2
"165",3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,5
"166",1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"167",1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,4
"168",6,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,2
"169",1,3,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"170",6,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,6,6
"171",1,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,2
"172",6,1,10,2,4,2,2,2,6,2,2,3,3,8,8,1,3,2,5,7,5,1
"173",1,4,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"174",3,4,10,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,4,2
"175",1,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"176",1,4,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,4
"177",1,4,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"178",6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"179",1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"180",6,4,9,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
"181",5,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,6,6
"182",3,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,5,6
"183",6,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"184",3,4,5,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,4,5
"185",6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,4,2
"186",1,3,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"187",3,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,6
"188",1,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"189",6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,5
"190",6,1,9,1,6,2,2,1,8,2,4,3,1,8,8,1,3,2,1,3,4,2
"191",6,3,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"192",1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,4
"193",3,3,10,2,1,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"194",6,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"195",3,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,6,6
"196",1,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,2
"197",6,3,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"198",6,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"199",3,3,9,2,1,2,2,2,6,2,2,3,3,8,8,1,3,2,5,4,5,1
"200",6,4,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"201",1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"202",6,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,2
"203",6,1,9,1,6,2,2,1,4,2,4,1,3,8,8,1,3,2,1,3,4,2
"204",3,4,5,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,6,5
"205",6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"206",1,3,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"207",1,3,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,4
"208",1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"209",1,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,2
"210",6,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"211",1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"212",6,1,10,2,1,2,2,2,6,2,2,3,3,8,8,1,3,2,5,4,5,1
"213",6,1,4,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,6,6
"214",3,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,2
"215",1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"216",6,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"217",6,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"218",6,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"219",5,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
"220",6,3,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"221",6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,4,2
"222",6,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,2
"223",3,1,9,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"224",6,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"225",1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,2
"226",6,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"227",6,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"228",6,4,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,6
"229",1,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"230",6,1,4,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,6,6
"231",6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,4,6
"232",6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,6,5
"233",3,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"234",1,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"235",6,1,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"236",6,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"237",1,4,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"238",6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,4,2
"239",3,4,10,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,4,5
"240",3,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"241",6,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"242",6,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"243",6,3,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,5,6
"244",3,1,9,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,7,5,1
"245",6,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"246",6,3,9,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,7,5,1
"247",6,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"248",3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"249",6,3,5,1,6,2,2,1,8,2,4,1,3,8,8,1,3,2,1,3,4,2
"250",3,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,2
"251",6,3,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,4,2
"252",5,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,5,6
"253",1,4,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,4
"254",1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"255",1,4,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"256",3,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"257",6,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"258",1,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,2
"259",1,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"260",3,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,2
"261",6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,2
"262",6,3,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"263",6,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"264",3,1,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"265",3,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,5,6
"266",3,3,4,1,6,2,2,1,8,2,4,3,3,8,8,1,3,2,1,3,1,2
"267",6,4,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"268",1,3,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
"269",3,4,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,3,4,6
"270",6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"271",3,3,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,3,5,6
"272",6,4,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,2
"273",6,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"274",3,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,5
"275",6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,5
"276",3,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,2
"277",6,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"278",3,1,5,1,6,2,2,1,4,2,4,3,3,8,8,1,3,2,1,3,4,2
"279",6,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"280",6,4,9,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,4,2
"281",1,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"282",5,1,5,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
"283",6,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,4
"284",1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"285",3,4,5,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,4,2
"286",1,4,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"287",1,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"288",6,4,5,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,6,5
"289",3,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,6,6
"290",6,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,6,6
"291",1,4,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,2
"292",6,3,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"293",1,4,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,2
"294",6,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
