"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"23",1,1,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"24",1,1,3,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"25",2,3,3,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,2
"26",1,6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"27",1,6,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"28",1,3,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,6,6
"29",1,6,3,10,2,1,2,2,2,6,2,2,3,3,8,8,1,3,2,5,4,5,1
"30",1,1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"31",2,6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,4,6
"32",1,6,4,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"33",1,6,4,5,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,6,5
"34",1,1,4,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"35",1,6,1,10,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"36",1,5,1,4,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"37",2,6,4,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,4,6
"38",1,6,1,10,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"39",1,1,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,4
"40",1,1,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"41",1,6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,6,5
"42",1,6,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,6,6
"43",2,6,4,9,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,2
"44",1,6,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"45",1,6,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"46",1,6,4,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,4
"47",1,6,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"48",1,6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,5
"49",1,3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,5
"50",1,6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,2
"51",1,6,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"52",1,1,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"53",2,6,4,5,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"54",2,6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"55",1,1,4,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,4
"56",1,3,1,4,1,6,2,2,1,6,2,4,3,3,8,8,1,3,2,1,4,1,2
"57",1,1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,2
"58",1,6,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,2
"59",1,6,4,5,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,6,5
"60",1,5,1,4,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"61",1,1,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
"62",1,1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"63",1,1,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"64",1,1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"65",1,3,3,5,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,3,1,2
"66",1,6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,2
"67",1,3,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,2
"68",1,6,4,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,2
"69",1,6,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
"70",1,3,1,10,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"71",1,1,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"72",1,3,1,10,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"73",1,6,4,5,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,4,5
"74",1,1,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"75",1,3,3,10,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"76",1,6,3,9,2,4,2,2,2,6,2,2,3,3,8,8,1,3,2,5,7,5,1
"77",1,3,4,5,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,6,5
"78",2,6,4,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,5,6
"79",1,3,4,5,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,6,2
"80",1,6,3,5,1,6,2,2,1,5,2,4,1,3,8,8,1,3,2,1,4,4,2
"81",2,6,4,9,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,3,4,2
"82",1,3,1,4,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,6,6
"83",1,6,1,4,1,6,2,2,1,6,2,4,3,3,8,8,1,3,2,1,4,4,2
"84",1,6,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,2
"85",1,6,3,5,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,3,4,2
"86",1,1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"87",1,6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"88",1,3,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,2
"89",1,5,1,5,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,6
"90",1,6,1,5,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,6,6
"91",1,1,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"92",1,6,4,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"93",1,6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"94",1,6,3,5,1,6,2,2,1,6,2,4,3,3,8,8,1,3,2,1,4,1,2
"95",1,6,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"96",1,3,4,5,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,4,2
"97",1,6,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"98",1,1,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"99",1,6,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"100",1,6,1,5,1,6,2,2,1,8,2,4,1,3,8,8,1,3,2,1,3,4,2
"101",1,1,3,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"102",1,3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,2
"103",1,6,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,6,5
"104",1,1,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"105",1,6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"106",1,6,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,2
"107",1,1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"108",1,1,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"109",1,6,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,4
"110",1,6,3,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,2
"111",1,5,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,6,6
"112",1,6,1,9,2,1,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"113",1,6,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"114",2,6,4,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,6
"115",1,6,4,10,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,4,2
"116",1,5,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,6,6
"117",1,6,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,2
"118",1,6,3,10,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,7,5,1
"119",1,5,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,6,6
"120",2,6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,2
"121",1,6,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"122",2,3,4,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,2
"123",1,3,3,4,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,4,1,2
"124",1,6,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"125",1,6,3,9,1,6,2,2,1,6,2,4,3,1,8,8,1,3,2,1,3,4,2
"126",1,1,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,2
"127",1,3,1,4,1,6,2,2,1,4,2,4,3,3,8,8,1,3,2,1,4,1,2
"128",1,6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"129",1,1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"130",1,1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"131",1,1,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,4
"132",1,3,3,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"133",1,6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"134",1,3,3,9,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"135",2,6,4,9,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,5,6
"136",1,3,1,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"137",1,6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"138",2,6,3,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,2
"139",1,1,3,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,2
"140",1,6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"141",1,1,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"142",1,5,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"143",1,3,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"144",1,6,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,2
"145",1,6,1,4,1,6,2,2,1,5,2,4,1,1,8,8,1,3,2,1,3,4,2
"146",1,3,1,9,1,6,2,2,1,5,2,4,3,1,8,8,1,3,2,1,4,1,2
"147",1,6,4,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"148",1,1,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,2
"149",1,1,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"150",1,6,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"151",1,6,3,5,1,6,2,2,1,8,2,4,1,3,8,8,1,3,2,1,4,1,2
"152",1,6,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"153",1,5,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"154",1,6,3,9,2,1,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"155",1,6,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,2
"156",1,1,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"157",1,6,4,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"158",1,1,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"159",1,1,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"160",1,1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"161",1,1,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"162",1,6,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,6,6
"163",1,3,4,5,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,6,2
"164",1,6,4,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,2
"165",1,3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,5
"166",1,1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"167",1,1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,4
"168",1,6,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,2
"169",1,1,3,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"170",1,6,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,6,6
"171",1,1,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,2
"172",1,6,1,10,2,4,2,2,2,6,2,2,3,3,8,8,1,3,2,5,7,5,1
"173",1,1,4,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"174",1,3,4,10,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,4,2
"175",1,1,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"176",1,1,4,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,4
"177",1,1,4,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"178",1,6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"179",1,1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"180",2,6,4,9,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
"181",1,5,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,6,6
"182",1,3,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,5,6
"183",1,6,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"184",1,3,4,5,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,4,5
"185",2,6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,4,2
"186",1,1,3,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"187",1,3,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,6
"188",1,1,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"189",1,6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,5
"190",1,6,1,9,1,6,2,2,1,8,2,4,3,1,8,8,1,3,2,1,3,4,2
"191",1,6,3,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"192",1,1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,4
"193",1,3,3,10,2,1,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"194",1,6,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"195",1,3,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,6,6
"196",1,1,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,2
"197",1,6,3,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"198",1,6,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"199",1,3,3,9,2,1,2,2,2,6,2,2,3,3,8,8,1,3,2,5,4,5,1
"200",1,6,4,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"201",1,1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"202",1,6,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,2
"203",1,6,1,9,1,6,2,2,1,4,2,4,1,3,8,8,1,3,2,1,3,4,2
"204",1,3,4,5,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,6,5
"205",2,6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"206",1,1,3,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"207",1,1,3,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,4
"208",1,1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"209",1,1,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,2
"210",1,6,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"211",1,1,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"212",1,6,1,10,2,1,2,2,2,6,2,2,3,3,8,8,1,3,2,5,4,5,1
"213",1,6,1,4,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,6,6
"214",1,3,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,2
"215",1,1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"216",1,6,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,2
"217",1,6,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"218",1,6,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"219",1,5,1,4,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
"220",1,6,3,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"221",2,6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,4,2
"222",1,6,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,2
"223",1,3,1,9,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"224",1,6,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"225",1,1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,2
"226",1,6,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"227",1,6,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,2
"228",2,6,4,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,6
"229",1,1,3,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"230",1,6,1,4,1,6,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,6,6
"231",2,6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,4,6
"232",1,6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,6,5
"233",1,3,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"234",1,1,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"235",1,6,1,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"236",1,6,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"237",1,1,4,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"238",1,6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,4,2
"239",1,3,4,10,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,4,5
"240",1,3,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"241",1,6,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,2
"242",1,6,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"243",2,6,3,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,5,6
"244",1,3,1,9,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,7,5,1
"245",1,6,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"246",1,6,3,9,2,4,2,2,2,8,2,2,3,3,8,8,1,3,2,5,7,5,1
"247",1,6,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"248",1,3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,6,5
"249",1,6,3,5,1,6,2,2,1,8,2,4,1,3,8,8,1,3,2,1,3,4,2
"250",1,3,4,10,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,2
"251",2,6,3,5,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,4,2
"252",1,5,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,4,5,6
"253",1,1,4,10,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,4
"254",1,1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"255",1,1,4,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"256",1,3,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"257",1,6,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"258",1,1,4,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,2
"259",1,1,4,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"260",1,3,4,5,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,2
"261",2,6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,2
"262",1,6,3,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"263",1,6,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"264",1,3,1,9,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,7,5,1
"265",1,3,1,4,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,5,6
"266",1,3,3,4,1,6,2,2,1,8,2,4,3,3,8,8,1,3,2,1,3,1,2
"267",1,6,4,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,4,4
"268",1,1,3,9,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
"269",2,3,4,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,3,4,6
"270",1,6,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,4
"271",2,3,3,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,3,5,6
"272",1,6,4,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,2
"273",1,6,4,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"274",1,3,4,10,2,1,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,5
"275",1,6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,4,5
"276",1,3,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,4,6,2
"277",1,6,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"278",1,3,1,5,1,6,2,2,1,4,2,4,3,3,8,8,1,3,2,1,3,4,2
"279",1,6,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"280",2,6,4,9,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,4,2
"281",1,1,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"282",1,5,1,5,1,6,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,6
